INFO  2024-04-13 15:51:33,890 [AppLog] 登陆成功
INFO  2024-04-13 15:51:34,270 [AppLog] PLC连接成功
INFO  2024-04-13 15:51:34,397 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,425 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,448 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,473 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,504 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,526 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,549 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,572 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,593 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,616 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,639 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,662 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,683 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,706 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,728 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,751 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,773 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,796 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,818 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,841 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,874 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,897 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,919 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,942 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,964 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:34,998 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,020 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,043 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,064 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,086 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,109 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,132 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,154 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,177 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,200 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,232 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,255 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,278 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,300 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,322 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,345 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,367 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,390 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,412 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,434 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,456 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,479 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,501 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,524 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,547 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,569 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,592 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,614 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,637 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,660 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,693 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,715 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,738 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,760 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,783 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,815 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:35,837 [AppLog] 读取设备手自动状态成功
