INFO  2024-04-25 09:55:53,751 [AppLog] 账号密码正确，登陆成功
INFO  2024-04-25 09:55:54,357 [AppLog] 连接PLC主界面成功
INFO  2024-04-25 09:55:54,471 [AppLog] 连接PLC自动报警界面成功
INFO  2024-04-25 09:55:59,191 [AppLog] 连接PLC单轴M18600界面成功
INFO  2024-04-25 09:55:59,203 [AppLog] 自动报警页面窗体关闭
INFO  2024-04-25 09:56:13,168 [AppLog] M4125保存按钮单击失败
INFO  2024-04-25 09:56:54,516 [AppLog] M4125保存按钮单击失败
INFO  2024-04-25 09:57:12,929 [AppLog] M4125保存按钮单击失败
INFO  2024-04-25 09:57:36,528 [AppLog] M4125保存按钮单击失败
INFO  2024-04-25 09:57:53,863 [AppLog] 主窗体关闭
INFO  2024-04-25 09:59:30,281 [AppLog] 账号密码正确，登陆成功
INFO  2024-04-25 09:59:30,728 [AppLog] 连接PLC主界面成功
INFO  2024-04-25 09:59:30,794 [AppLog] 连接PLC自动报警界面成功
INFO  2024-04-25 09:59:39,424 [AppLog] 连接PLC单轴M18600界面成功
INFO  2024-04-25 09:59:39,450 [AppLog] 自动报警页面窗体关闭
INFO  2024-04-25 09:59:53,387 [AppLog] M4125保存按钮单击失败
INFO  2024-04-25 10:00:35,384 [AppLog] 主窗体关闭
INFO  2024-04-25 10:00:57,929 [AppLog] 账号密码正确，登陆成功
INFO  2024-04-25 10:00:58,548 [AppLog] 连接PLC主界面成功
INFO  2024-04-25 10:00:58,616 [AppLog] 连接PLC自动报警界面成功
INFO  2024-04-25 10:01:02,973 [AppLog] 连接PLC单轴M18600界面成功
INFO  2024-04-25 10:01:02,983 [AppLog] 自动报警页面窗体关闭
INFO  2024-04-25 10:01:10,323 [AppLog] 主窗体关闭
INFO  2024-04-25 10:01:35,122 [AppLog] 账号密码正确，登陆成功
INFO  2024-04-25 10:01:35,551 [AppLog] 连接PLC主界面成功
INFO  2024-04-25 10:01:35,613 [AppLog] 连接PLC自动报警界面成功
INFO  2024-04-25 10:01:37,938 [AppLog] 连接PLC单轴M18600界面成功
INFO  2024-04-25 10:01:37,963 [AppLog] 自动报警页面窗体关闭
INFO  2024-04-25 10:03:25,593 [AppLog] 账号密码正确，登陆成功
INFO  2024-04-25 10:03:26,041 [AppLog] 连接PLC主界面成功
INFO  2024-04-25 10:03:26,104 [AppLog] 连接PLC自动报警界面成功
INFO  2024-04-25 10:03:28,603 [AppLog] 连接PLC单轴M18600界面成功
INFO  2024-04-25 10:03:28,613 [AppLog] 自动报警页面窗体关闭
INFO  2024-04-25 10:10:40,030 [AppLog] 账号密码正确，登陆成功
INFO  2024-04-25 10:10:40,634 [AppLog] 连接PLC主界面成功
INFO  2024-04-25 10:10:40,698 [AppLog] 连接PLC自动报警界面成功
INFO  2024-04-25 10:10:44,410 [AppLog] 连接PLC单轴M18600界面成功
INFO  2024-04-25 10:10:44,419 [AppLog] 自动报警页面窗体关闭
INFO  2024-04-25 10:27:05,271 [AppLog] 账号密码正确，登陆成功
INFO  2024-04-25 10:27:05,866 [AppLog] 连接PLC主界面成功
INFO  2024-04-25 10:27:05,924 [AppLog] 连接PLC自动报警界面成功
INFO  2024-04-25 10:27:09,492 [AppLog] 连接PLC单轴M18600界面成功
INFO  2024-04-25 10:27:09,506 [AppLog] 自动报警页面窗体关闭
